id,dataset_name,folding,method
6DVK,ablation,"[[1, 94], [2, 93], [3, 92], [4, 91], [5, 90], [6, 89], [9, 85], [10, 84], [11, 83], [12, 82], [17, 45], [18, 44], [19, 43], [26, 70], [44, 55], [52, 61], [54, 59]]",C1D
6MCC,ablation,"[[1, 115], [2, 114], [4, 112], [12, 22], [13, 105], [22, 29], [29, 38], [30, 57], [31, 56], [32, 55], [33, 54], [34, 53], [35, 72], [36, 71], [71, 79], [72, 78], [80, 104], [85, 100], [87, 98], [88, 97], [89, 96], [90, 95], [97, 103], [101, 113], [103, 111], [104, 110]]",C1D
6UES,ablation,"[[1, 119], [2, 118], [4, 117], [10, 42], [11, 41], [12, 40], [13, 39], [15, 114], [16, 113], [17, 112], [18, 111], [27, 92], [28, 91], [29, 36], [30, 35], [32, 48], [36, 108], [41, 90], [44, 61], [45, 60], [46, 59], [50, 84], [51, 58], [52, 57], [59, 94], [61, 66], [66, 73], [87, 103], [89, 101], [90, 100], [91, 99], [92, 98], [93, 97]]",C1D
4QK8,ablation,"[[4, 109], [5, 108], [6, 24], [7, 23], [8, 22], [10, 20], [12, 19], [13, 18], [22, 103], [23, 102], [24, 101], [25, 100], [26, 99], [37, 91], [39, 92], [40, 89], [41, 88], [42, 87], [43, 86], [48, 64], [49, 63], [50, 62], [51, 61], [52, 60], [53, 59], [67, 83], [68, 82], [69, 81], [70, 80], [71, 79], [72, 78], [73, 120], [74, 119], [75, 118], [76, 117], [77, 116], [78, 115], [99, 122]]",C1D
6N5L,ablation,"[[3, 112], [4, 111], [5, 110], [6, 109], [7, 25], [8, 24], [10, 22], [11, 72], [12, 21], [13, 20], [14, 19], [24, 105], [25, 104], [26, 103], [27, 102], [28, 101], [39, 93], [41, 94], [42, 91], [43, 90], [44, 89], [45, 88], [50, 66], [51, 65], [52, 64], [53, 63], [54, 62], [55, 61], [69, 85], [70, 84], [71, 83], [72, 82], [73, 81], [74, 80], [75, 122], [76, 121], [77, 120], [78, 119], [79, 118], [80, 117]]",C1D
6N5T,ablation,"[[4, 113], [5, 112], [6, 28], [7, 27], [8, 26], [13, 23], [14, 22], [16, 43], [26, 107], [27, 106], [28, 105], [29, 104], [30, 103], [41, 95], [43, 96], [44, 93], [45, 92], [46, 91], [47, 90], [52, 68], [53, 67], [54, 66], [55, 65], [56, 64], [57, 63], [71, 87], [72, 86], [73, 85], [74, 84], [75, 83], [76, 82], [77, 124], [78, 123], [79, 122], [80, 121], [81, 120], [82, 119]]",C1D
6N5O,ablation,"[[4, 113], [5, 112], [6, 111], [7, 110], [12, 23], [13, 27], [14, 26], [23, 81], [26, 107], [27, 106], [28, 105], [29, 104], [30, 103], [41, 95], [43, 96], [44, 93], [45, 92], [46, 91], [47, 90], [52, 68], [53, 67], [54, 66], [55, 65], [56, 64], [57, 63], [71, 87], [72, 86], [73, 85], [74, 84], [75, 83], [76, 82], [77, 124], [78, 123], [79, 122], [80, 121], [81, 120], [82, 119]]",C1D
1MFQ,ablation,"[[1, 128], [2, 127], [3, 126], [4, 125], [5, 124], [6, 123], [10, 20], [11, 117], [12, 116], [13, 115], [14, 114], [15, 113], [17, 111], [18, 57], [19, 56], [20, 55], [21, 54], [23, 52], [24, 51], [25, 50], [26, 49], [27, 48], [30, 45], [31, 44], [32, 43], [33, 42], [34, 41], [35, 40], [64, 110], [66, 109], [67, 108], [68, 107], [69, 106], [70, 105], [76, 101], [77, 100], [78, 99], [79, 98], [84, 93], [85, 92], [86, 91]]",C1D
6HIZ_0,ablation,"[[1, 143], [2, 142], [4, 140], [5, 77], [27, 52], [51, 61], [52, 60], [54, 58]]",C1D
6SG9_0,ablation,"[[5, 143], [10, 137], [38, 63], [62, 72], [63, 71], [65, 69]]",C1D
6QKL_2,ablation,"[[1, 148], [2, 147], [3, 146], [4, 145], [6, 48], [7, 47], [8, 82], [13, 141], [15, 139], [16, 90], [17, 45], [18, 44], [45, 114], [46, 113], [47, 112], [55, 81], [81, 125], [82, 93], [111, 138], [112, 137], [132, 136]]",C1D
6WLU,ablation,"[[3, 231], [4, 230], [5, 229], [7, 227], [8, 226], [9, 225], [16, 173], [20, 109], [21, 189], [22, 188], [26, 103], [27, 145], [36, 215], [38, 148], [40, 122], [46, 53], [53, 186], [54, 216], [55, 111], [56, 110], [62, 203], [65, 88], [71, 211], [73, 98], [74, 97], [75, 101], [95, 224], [96, 223], [97, 222], [98, 220], [99, 219], [101, 217], [112, 182], [113, 181], [122, 162], [123, 191], [141, 209], [148, 201], [168, 174], [189, 200], [201, 213], [202, 212], [210, 228]]",C1D
5AN9_1,ablation,"[[5, 122], [8, 164], [9, 163], [10, 162], [12, 195], [13, 194], [19, 146], [23, 74], [31, 176], [40, 72], [42, 182], [43, 88], [44, 180], [46, 178], [47, 177], [55, 206], [62, 136], [72, 166], [74, 79], [76, 132], [77, 131], [78, 130], [79, 129], [83, 243], [84, 242], [85, 241], [88, 239], [94, 171], [108, 161], [120, 145], [122, 209], [126, 223], [127, 218], [136, 247], [142, 240], [176, 233], [177, 187], [178, 231], [179, 230], [189, 196], [193, 220], [197, 222], [198, 221], [200, 219], [220, 228], [230, 238]]",C1D
6WLO,ablation,"[[1, 337], [5, 332], [7, 26], [8, 334], [9, 300], [10, 328], [11, 330], [12, 326], [18, 251], [19, 250], [23, 285], [43, 78], [44, 77], [45, 76], [46, 75], [47, 74], [48, 239], [49, 238], [50, 237], [54, 159], [55, 158], [56, 157], [57, 228], [59, 226], [60, 225], [61, 224], [63, 222], [64, 221], [65, 148], [68, 145], [70, 331], [75, 139], [76, 138], [78, 137], [79, 136], [80, 135], [84, 126], [85, 125], [88, 107], [90, 105], [93, 102], [94, 101], [107, 212], [111, 119], [125, 215], [146, 336], [154, 302], [165, 199], [171, 314], [173, 192], [174, 191], [175, 190], [176, 189], [177, 188], [178, 187], [179, 186], [180, 185], [210, 290], [211, 289], [212, 288], [213, 287], [214, 286], [247, 266], [248, 265], [249, 264], [250, 263], [251, 262], [252, 261], [253, 260], [254, 259], [266, 311], [297, 320], [298, 319], [299, 318], [300, 317], [301, 316], [302, 315]]",C1D
6AHR,ablation,"[[1, 341], [2, 339], [3, 242], [4, 338], [5, 337], [6, 336], [7, 335], [8, 334], [9, 333], [10, 332], [19, 39], [24, 72], [26, 295], [27, 158], [28, 157], [29, 156], [30, 102], [39, 273], [40, 203], [44, 198], [46, 113], [47, 112], [48, 111], [49, 110], [54, 218], [56, 237], [59, 266], [60, 265], [69, 166], [71, 96], [72, 95], [79, 330], [93, 257], [96, 128], [97, 121], [98, 126], [101, 116], [103, 155], [111, 196], [112, 195], [118, 177], [119, 180], [120, 175], [126, 263], [143, 300], [144, 299], [152, 159], [153, 294], [154, 293], [155, 292], [157, 238], [158, 289], [159, 164], [160, 285], [164, 202], [168, 172], [180, 200], [181, 199], [194, 213], [195, 212], [196, 211], [197, 210], [199, 208], [200, 207], [212, 272], [213, 271], [233, 262], [246, 340], [255, 281], [256, 280], [257, 279], [258, 278], [259, 277], [284, 328], [292, 302], [293, 301], [299, 314], [300, 313], [301, 312]]",C1D
4FB0,ablation,"[[1, 276], [4, 40], [7, 218], [8, 217], [9, 216], [10, 324], [11, 245], [12, 214], [13, 47], [14, 212], [18, 105], [24, 134], [25, 55], [26, 83], [30, 201], [32, 371], [34, 75], [40, 330], [41, 247], [42, 138], [43, 136], [48, 234], [55, 72], [56, 206], [64, 68], [69, 290], [71, 122], [73, 380], [74, 162], [75, 378], [76, 179], [77, 319], [83, 88], [104, 236], [105, 164], [107, 130], [108, 129], [114, 256], [115, 255], [123, 181], [124, 180], [125, 133], [126, 159], [127, 172], [128, 137], [129, 386], [130, 284], [132, 199], [134, 310], [136, 301], [138, 299], [141, 368], [158, 208], [159, 207], [160, 353], [161, 186], [164, 188], [168, 327], [188, 223], [200, 323], [206, 233], [215, 349], [217, 347], [221, 308], [223, 306], [234, 254], [235, 253], [244, 309], [252, 259], [253, 365], [254, 293], [255, 292], [256, 362], [267, 364], [276, 283], [277, 282], [281, 366], [308, 317], [309, 316], [310, 384], [311, 383], [331, 339], [333, 355], [339, 363], [363, 377], [364, 376], [365, 375]]",C1D
4FAQ,ablation,"[[1, 107], [2, 189], [4, 187], [5, 186], [10, 219], [12, 326], [13, 217], [14, 216], [15, 215], [16, 214], [23, 348], [28, 85], [31, 60], [32, 203], [34, 201], [41, 136], [42, 332], [43, 249], [44, 140], [50, 236], [57, 74], [58, 208], [66, 70], [71, 292], [73, 124], [75, 165], [76, 164], [77, 163], [78, 181], [79, 321], [85, 90], [106, 238], [107, 166], [109, 132], [110, 131], [116, 258], [117, 257], [125, 183], [126, 182], [127, 135], [128, 161], [129, 174], [130, 139], [132, 269], [136, 312], [138, 303], [140, 301], [141, 372], [143, 370], [145, 368], [160, 366], [161, 209], [162, 355], [163, 188], [166, 190], [170, 329], [190, 225], [202, 325], [208, 235], [209, 379], [217, 373], [219, 349], [223, 310], [225, 308], [236, 256], [237, 255], [246, 311], [254, 261], [255, 270], [256, 295], [257, 365], [258, 364], [278, 285], [279, 284], [283, 313], [310, 319], [311, 318], [312, 328], [313, 322], [315, 383], [333, 341], [335, 357], [341, 350], [366, 378], [367, 377], [372, 388]]",C1D
2MXJ,ablation,"[[1, 10], [2, 9]]",C1D
2F87,ablation,"[[1, 12], [2, 11], [3, 10], [4, 9]]",C1D
1RNG,ablation,"[[1, 12], [2, 11], [3, 10], [4, 9]]",C1D
5E08,ablation,"[[5, 12], [6, 11]]",C1D
1VOP,ablation,"[[1, 13], [2, 12], [3, 11], [4, 10]]",C1D
1HS8,ablation,"[[1, 12], [2, 11], [3, 10]]",C1D
1ESH,ablation,"[[1, 13], [2, 12], [3, 11], [4, 10], [5, 9]]",C1D
5TC1_2,ablation,"[[1, 14], [2, 13], [3, 12]]",C1D
5TC1_11,ablation,"[[1, 14], [2, 13], [3, 12], [4, 11], [5, 10]]",C1D
1ROQ,ablation,"[[1, 14], [2, 13], [3, 12], [4, 11], [5, 10]]",C1D
1C0O,ablation,"[[1, 14], [2, 13], [3, 12], [4, 11], [5, 10]]",C1D
1FHK,ablation,"[[1, 14], [2, 13], [3, 12], [4, 11]]",C1D
6BY5,ablation,"[[1, 14], [2, 13], [3, 12], [4, 11], [5, 10]]",C1D
4IFD_0,ablation,"[[1, 13], [2, 12], [3, 11], [4, 9]]",C1D
2MN0,ablation,"[[4, 12], [5, 13]]",C1D
5TC1_8,ablation,"[[3, 14], [4, 16], [6, 12]]",C1D
2XLJ,ablation,"[[1, 15], [2, 14], [3, 13], [4, 12], [5, 11]]",C1D
2F8K,ablation,"[[2, 16], [3, 15], [4, 14], [5, 9]]",C1D
2LBJ,ablation,"[[1, 17], [2, 16], [3, 15], [4, 14], [5, 13], [6, 12], [7, 11]]",C1D
6T0U_0,ablation,"[[3, 14], [5, 15]]",C1D
1J4Y,ablation,"[[1, 17], [2, 16], [3, 15], [4, 14], [5, 13], [6, 12]]",C1D
2LBK,ablation,"[[1, 17], [2, 16], [3, 15], [4, 14], [5, 13], [6, 12]]",C1D
1WKS,ablation,"[[1, 17], [2, 16], [3, 15], [4, 14], [5, 13], [6, 12]]",C1D
2M4W,ablation,"[[1, 17], [2, 16], [4, 15], [5, 14]]",C1D
2KRW,ablation,"[[1, 17], [2, 16], [3, 15], [4, 14], [5, 13]]",C1D
1Z30,ablation,"[[1, 18], [2, 17], [3, 16], [4, 15], [5, 14], [6, 13], [7, 12]]",C1D
2QH4,ablation,"[[1, 18], [2, 17], [3, 16], [4, 15], [5, 14], [6, 13]]",C1D
1HLX,ablation,"[[1, 20], [2, 19], [3, 18], [4, 17], [5, 16], [6, 15], [7, 14], [8, 13]]",C1D
2AB4,ablation,"[[1, 19], [2, 18], [3, 17], [4, 16], [5, 15], [6, 14]]",C1D
4L8H,ablation,"[[1, 20], [2, 19], [3, 18], [4, 17]]",C1D
2Y8W,ablation,"[[1, 18], [2, 17], [3, 16], [4, 15], [5, 14], [6, 13], [7, 12]]",C1D
7D12,ablation,"[[1, 20], [2, 19], [4, 17], [5, 16], [7, 11]]",C1D
2RPT,ablation,"[[1, 20], [2, 19], [3, 18], [4, 17], [6, 15], [7, 14]]",C1D
1D0T,ablation,"[[1, 21], [2, 20], [3, 19], [4, 18], [5, 17], [8, 15], [9, 14]]",C1D
1F9L,ablation,"[[1, 22], [2, 21], [4, 19], [7, 16], [8, 15], [9, 14]]",C1D
2KD8,ablation,"[[1, 22], [2, 21], [3, 20], [4, 19], [5, 18], [6, 17], [7, 16], [8, 15]]",C1D
2K66,ablation,"[[1, 22], [2, 21], [3, 20], [4, 19], [5, 18], [6, 17], [7, 16], [8, 15], [9, 14]]",C1D
2G1W,ablation,"[[5, 22]]",C1D
2JYM,ablation,"[[1, 22], [2, 21], [3, 20], [4, 19], [5, 18]]",C1D
1JUR,ablation,"[[1, 22], [2, 21], [3, 20], [5, 19], [9, 15]]",C1D
1K2G,ablation,"[[1, 22], [5, 18], [8, 16]]",C1D
1K6G,ablation,"[[1, 22], [2, 21], [3, 20], [4, 19], [5, 18], [6, 17], [7, 16], [8, 15], [9, 14]]",C1D
4A4T,ablation,"[[1, 22], [2, 21], [3, 20], [4, 19], [5, 18], [6, 17], [7, 16], [8, 15], [9, 14]]",C1D
1S34,ablation,"[[1, 23], [3, 21], [5, 19], [6, 20], [8, 18], [9, 17]]",C1D
1RHT,ablation,"[[4, 20], [5, 19], [6, 18]]",C1D
1NYB,ablation,"[[1, 24], [3, 22], [4, 21], [5, 20], [6, 19], [7, 18], [8, 16]]",C1D
2ANR,ablation,"[[1, 25], [2, 24], [3, 23], [4, 22], [5, 21]]",C1D
2IXY,ablation,"[[1, 27], [2, 26], [3, 25], [4, 24], [6, 22], [7, 21], [9, 18], [10, 16], [11, 15]]",C1D
484D,ablation,"[[1, 27], [2, 26], [3, 25], [4, 24], [5, 23], [8, 21], [9, 20]]",C1D
1FQZ,ablation,"[[1, 27], [2, 26], [3, 25], [9, 20], [10, 19], [11, 18]]",C1D
6HIX_0,ablation,"[[9, 18], [10, 19]]",C1D
1JID,ablation,"[[1, 28], [2, 27], [3, 26], [4, 25], [7, 22], [8, 21], [9, 20], [10, 19], [11, 18], [12, 17]]",C1D
1UUD,ablation,"[[1, 29], [2, 28], [3, 27], [4, 26], [5, 25], [6, 24], [10, 23], [11, 22], [12, 21], [13, 20]]",C1D
1NBR,ablation,"[[1, 29], [2, 28], [3, 27], [4, 26], [5, 25], [6, 24], [7, 17], [8, 22], [9, 23]]",C1D
1EBQ,ablation,"[[1, 29], [2, 28], [3, 27], [4, 26], [7, 22], [8, 21], [9, 20], [10, 19], [11, 18], [12, 17]]",C1D
6MCE,ablation,"[[1, 30], [2, 29], [3, 28], [4, 27], [5, 26], [6, 25], [7, 24], [10, 23], [11, 22], [12, 21], [13, 20]]",C1D
1AJU,ablation,"[[1, 30], [2, 29], [3, 28], [4, 27], [5, 26], [6, 25], [7, 24], [10, 23], [11, 22], [12, 21], [13, 20]]",C1D
1KP7,ablation,"[[1, 30], [3, 28], [4, 27], [10, 21]]",C1D
7BOG_1,ablation,"[[1, 24], [2, 23], [3, 22], [4, 21], [5, 20], [6, 19], [7, 18], [8, 17], [9, 16], [10, 15]]",C1D
2LDT,ablation,"[[1, 31], [3, 28], [6, 26], [11, 20], [13, 18]]",C1D
1JO7,ablation,"[[1, 31], [3, 29], [5, 27], [7, 25], [11, 22], [12, 21], [13, 20], [14, 19]]",C1D
6EML_0,ablation,"[[1, 24], [2, 23], [3, 22], [4, 21], [5, 20], [6, 19], [7, 18], [8, 17], [9, 16], [10, 15]]",C1D
2LBS,ablation,"[[1, 32], [2, 31], [3, 30], [4, 29], [5, 28], [6, 27], [7, 26], [8, 25], [9, 24], [10, 23], [11, 22], [13, 20]]",C1D
2LWK,ablation,"[[2, 32], [3, 31], [4, 30], [5, 29], [6, 28], [7, 27], [8, 26], [12, 23], [13, 22], [14, 21], [15, 20]]",C1D
2DR5,ablation,"[[1, 31], [2, 30], [3, 29], [4, 28], [5, 27], [6, 26], [7, 25], [8, 24], [9, 23], [10, 22], [11, 21], [12, 20]]",C1D
1KAJ,ablation,"[[1, 19], [2, 18], [3, 17], [4, 16], [5, 15], [9, 31], [10, 30], [11, 29], [12, 28], [13, 27]]",C1D
5A17,ablation,"[[1, 32], [2, 31], [3, 30], [4, 29], [5, 28], [8, 24], [9, 23], [12, 22], [13, 21]]",C1D
2JXV,ablation,"[[1, 33], [2, 32], [3, 31], [4, 30], [6, 28], [7, 27], [8, 26], [9, 23], [10, 24], [11, 22], [12, 21], [13, 20], [14, 19]]",C1D
2DR7,ablation,"[[1, 31], [2, 30], [3, 29], [4, 28], [5, 27], [6, 26], [7, 25], [8, 24], [9, 23], [10, 22], [11, 21], [12, 20]]",C1D
2ZHB,ablation,"[[1, 31], [2, 30], [3, 29], [4, 28], [5, 27], [6, 26], [7, 25], [8, 24], [9, 23], [10, 22], [11, 21], [12, 20]]",C1D
2L3C,ablation,"[[1, 34], [2, 33], [3, 32], [4, 31], [6, 29], [7, 28], [8, 27], [10, 25], [11, 24], [12, 23]]",C1D
1R7W,ablation,"[[2, 33], [3, 32], [4, 31], [5, 30], [6, 29], [7, 28], [10, 19], [11, 18], [12, 17], [15, 26], [16, 25], [17, 24], [18, 23]]",C1D
2JTP,ablation,"[[1, 34], [2, 33], [3, 32], [4, 31], [5, 29], [6, 28], [7, 27], [8, 26], [9, 25], [10, 24], [12, 21]]",C1D
1RNK,ablation,"[[1, 31], [2, 30], [3, 17], [4, 16], [12, 28], [13, 27]]",C1D
2KPV,ablation,"[[1, 33], [4, 32], [5, 31], [6, 30], [7, 27], [8, 26], [11, 22], [12, 21], [13, 20], [14, 19]]",C1D
2ZH3,ablation,"[[1, 31], [2, 30], [3, 29], [4, 28], [5, 27], [6, 26], [7, 25], [8, 24], [9, 23], [10, 22], [11, 21], [12, 20]]",C1D
1P5N,ablation,"[[1, 34], [2, 33], [3, 32], [4, 31], [8, 26], [9, 25], [10, 24], [11, 23], [12, 22], [13, 21]]",C1D
6E80_0,ablation,"[[1, 34], [2, 33], [3, 32], [4, 31], [5, 30], [12, 29], [14, 27], [15, 26], [16, 25]]",C1D
2L3E,ablation,"[[1, 35], [2, 34], [3, 33], [4, 32], [5, 31], [6, 30], [14, 27], [15, 26], [17, 24]]",C1D
2DRB,ablation,"[[1, 31], [2, 30], [3, 29], [4, 28], [5, 27], [6, 26], [7, 25], [8, 24], [9, 23], [10, 22], [11, 21], [12, 20]]",C1D
6E82,ablation,"[[1, 36], [2, 35], [3, 34], [4, 33], [5, 32], [6, 31], [9, 27], [15, 28]]",C1D
2N6S,ablation,"[[1, 36], [2, 35], [3, 34], [4, 33], [5, 32], [6, 31], [7, 30], [8, 29], [9, 28], [10, 27], [11, 26], [12, 25], [13, 24], [14, 23], [16, 21]]",C1D
4OJI_0,ablation,"[[1, 34], [2, 36], [3, 35], [8, 31], [13, 33], [14, 30], [15, 29], [16, 25]]",C1D
1TXS,ablation,"[[1, 38], [2, 37], [3, 36], [7, 34], [8, 35], [9, 32], [10, 33], [14, 27], [15, 26], [16, 25]]",C1D
1F1T,ablation,"[[1, 38], [2, 37], [3, 36], [4, 35], [5, 24], [6, 34], [7, 33], [8, 32], [11, 22], [12, 21], [13, 20], [14, 19]]",C1D
1ZC5,ablation,"[[1, 41], [2, 40], [3, 39], [4, 38], [5, 37], [6, 36], [7, 32], [8, 31], [9, 30], [10, 29], [11, 28], [12, 27], [13, 26], [14, 25], [15, 24], [16, 23]]",C1D
5V17,ablation,"[[1, 41], [2, 40], [3, 39], [4, 38], [5, 37], [6, 36], [13, 34], [14, 33], [15, 32], [16, 31], [17, 30], [18, 29], [19, 28], [20, 27]]",C1D
2L2J,ablation,"[[1, 42], [2, 41], [3, 40], [4, 39], [6, 37], [7, 32], [8, 31], [9, 30], [13, 19], [14, 28], [16, 27], [17, 25], [18, 24], [19, 23], [24, 29]]",C1D
5WLH_0,ablation,"[[7, 26], [8, 23], [9, 22], [10, 21], [11, 20]]",C1D
2MTK,ablation,"[[1, 46], [2, 45], [3, 44], [4, 43], [5, 42], [10, 23], [12, 32], [19, 24], [30, 35]]",C1D
2PXT,ablation,"[[1, 49], [2, 48], [3, 47], [4, 46], [5, 45], [6, 44], [7, 43], [8, 42], [9, 41], [10, 40], [15, 38], [16, 37], [17, 36], [22, 31], [23, 30], [24, 29]]",C1D
2LU0,ablation,"[[1, 49], [2, 48], [3, 47], [4, 46], [5, 45], [8, 41], [9, 40], [10, 39], [12, 35], [27, 34], [28, 33], [31, 36]]",C1D
2PXD,ablation,"[[1, 49], [2, 48], [3, 47], [4, 46], [5, 45], [6, 44], [7, 43], [8, 42], [9, 41], [10, 40], [15, 38], [16, 37], [17, 36], [22, 31], [23, 30], [24, 29]]",C1D
1DUL,ablation,"[[1, 49], [2, 48], [3, 47], [4, 46], [5, 45], [6, 44], [7, 43], [8, 42], [9, 41], [10, 40], [15, 38], [16, 37], [17, 36], [22, 31], [23, 30], [24, 29]]",C1D
2PXP,ablation,"[[1, 49], [2, 48], [3, 47], [4, 46], [5, 45], [6, 44], [7, 43], [8, 42], [9, 41], [10, 40], [15, 38], [16, 37], [17, 36], [22, 31], [23, 30], [24, 29]]",C1D
7D82,ablation,"[[1, 50], [2, 49], [3, 48], [4, 47], [5, 46], [6, 45], [7, 44], [18, 41], [19, 40], [20, 39], [21, 38], [22, 37], [24, 34]]",C1D
4K27,ablation,"[[1, 55], [2, 54], [3, 53], [4, 23], [5, 52], [7, 50], [8, 48], [12, 24], [14, 29], [16, 40], [17, 39], [18, 38], [19, 37], [22, 34], [23, 33], [35, 51], [37, 49], [38, 44]]",C1D
4PKD,ablation,"[[1, 54], [2, 53], [3, 20], [4, 19], [5, 18], [6, 17], [14, 26], [30, 49], [31, 45]]",C1D
1MZP,ablation,"[[1, 55], [2, 54], [3, 53], [4, 52], [6, 50], [16, 49], [17, 48], [18, 26], [19, 46], [20, 24], [21, 34], [23, 32], [24, 31], [33, 38], [37, 45]]",C1D
4M4O,ablation,"[[1, 59], [2, 58], [3, 57], [4, 56], [5, 55], [6, 54], [8, 52], [9, 51], [10, 50], [11, 49], [13, 48], [23, 44], [24, 43], [25, 42], [26, 41]]",C1D
7N3O_1,ablation,"[[2, 20], [4, 18], [20, 28], [28, 38], [30, 37], [31, 36], [35, 50], [36, 49], [37, 48], [39, 46], [40, 45]]",C1D
5UZ9,ablation,"[[17, 29], [18, 28], [19, 27], [20, 26], [46, 60], [47, 59], [48, 58], [49, 57], [50, 56]]",C1D
2N3R,ablation,"[[1, 61], [2, 60], [3, 59], [4, 58], [5, 57], [7, 55], [21, 30], [22, 29], [27, 39], [28, 38], [29, 37], [36, 48], [37, 47]]",C1D
4XW7,ablation,"[[3, 62], [5, 60], [10, 55], [11, 34], [12, 53], [13, 52], [14, 51], [15, 50], [22, 31], [23, 30], [36, 44]]",C1D
2XO1_0,ablation,"[[2, 64], [3, 63], [4, 62], [5, 61], [6, 60], [7, 37], [10, 30], [12, 28], [13, 27], [14, 26], [15, 25], [16, 24], [22, 46], [23, 45], [31, 38], [39, 57], [40, 56], [41, 55], [42, 54], [43, 53], [44, 52]]",C1D
2EEW,ablation,"[[1, 67], [2, 66], [3, 65], [4, 64], [5, 63], [6, 62], [7, 61], [8, 38], [11, 31], [13, 29], [14, 28], [15, 27], [16, 26], [17, 25], [23, 47], [24, 46], [32, 39], [40, 58], [41, 57], [42, 56], [43, 55], [44, 54], [45, 53]]",C1D
3G4M,ablation,"[[1, 67], [2, 66], [3, 65], [4, 64], [5, 63], [6, 62], [7, 61], [8, 38], [11, 31], [13, 29], [14, 28], [15, 27], [16, 26], [17, 25], [23, 47], [24, 46], [32, 39], [40, 58], [41, 57], [42, 56], [43, 55], [44, 54], [45, 53]]",C1D
1KXK,ablation,"[[6, 65], [7, 64], [12, 60], [13, 59], [14, 58], [15, 57], [21, 52], [22, 51], [23, 50], [24, 49], [25, 48], [26, 47], [29, 42], [30, 41], [31, 40], [32, 39], [40, 61]]",C1D
5KPY,ablation,"[[1, 71], [2, 70], [4, 68], [5, 67], [10, 64], [15, 31], [16, 30], [17, 29], [18, 28], [19, 27], [25, 49], [26, 48], [42, 61], [43, 59], [44, 58], [45, 69], [46, 56], [50, 63], [51, 62]]",C1D
4LX5,ablation,"[[1, 71], [2, 70], [3, 69], [4, 68], [5, 67], [6, 66], [7, 65], [8, 64], [9, 63], [10, 40], [12, 62], [13, 33], [14, 32], [15, 31], [16, 30], [17, 29], [18, 28], [25, 49], [26, 48], [27, 47], [34, 41], [42, 60], [43, 59], [44, 58], [45, 57], [46, 56], [47, 55]]",C1D
2AKE,ablation,"[[1, 71], [2, 70], [3, 69], [4, 68], [5, 67], [6, 66], [7, 65], [10, 24], [11, 23], [12, 22], [13, 21], [21, 51], [22, 50], [23, 49], [26, 42], [27, 41], [28, 40], [29, 39], [30, 38], [48, 64], [49, 63], [50, 62], [51, 61], [52, 60]]",C1D
2MF0,ablation,"[[1, 71], [3, 69], [5, 70], [7, 68], [8, 67], [20, 53], [44, 56], [45, 55], [46, 54]]",C1D
5AXM_0,ablation,"[[1, 69], [3, 68], [4, 67], [5, 66], [6, 65], [7, 64], [9, 24], [10, 23], [11, 22], [12, 21], [18, 55], [23, 46], [26, 42], [27, 41], [28, 40], [29, 39], [30, 38], [49, 63], [50, 62], [51, 61], [52, 60]]",C1D
5VW1_0,ablation,"[[11, 20], [12, 19], [13, 38], [14, 37], [19, 30], [20, 29], [21, 28], [38, 54], [43, 50], [51, 69], [53, 66]]",C1D
3TUP_0,ablation,"[[1, 72], [2, 71], [3, 70], [4, 69], [5, 68], [6, 67], [7, 66], [10, 25], [11, 24], [12, 23], [13, 22], [19, 56], [24, 51], [25, 50], [27, 43], [28, 42], [29, 41], [30, 40], [31, 39], [40, 52], [50, 64], [51, 63], [52, 62], [53, 61]]",C1D
1J1U_0,ablation,"[[1, 73], [2, 72], [3, 71], [4, 70], [5, 69], [6, 68], [7, 67], [10, 26], [11, 25], [12, 24], [13, 23], [26, 35], [27, 52], [28, 51], [29, 43], [30, 42], [31, 41], [32, 40], [41, 65], [50, 66], [52, 64], [53, 63]]",C1D
5X6B,ablation,"[[1, 71], [2, 70], [3, 69], [4, 68], [5, 67], [6, 66], [7, 65], [10, 24], [11, 23], [12, 22], [13, 21], [18, 55], [26, 42], [27, 41], [28, 40], [29, 39], [30, 38], [40, 50], [41, 49], [49, 63], [50, 62], [51, 61], [52, 60]]",C1D
2IHX,ablation,"[[1, 75], [2, 74], [3, 73], [4, 72], [5, 71], [6, 70], [7, 69], [8, 68], [11, 34], [12, 33], [13, 32], [14, 31], [28, 42], [40, 58], [42, 56], [43, 54], [44, 53], [57, 62]]",C1D
7MRL,ablation,"[[1, 75], [2, 74], [3, 73], [4, 72], [5, 71], [6, 70], [7, 69], [13, 22], [32, 41], [54, 66]]",C1D
7KJU_0,ablation,"[[1, 71], [2, 70], [3, 69], [4, 68], [5, 67], [6, 66], [9, 25], [10, 24], [11, 23], [12, 22], [19, 56], [26, 32], [27, 31], [28, 42], [29, 41], [30, 40], [31, 39], [49, 65], [50, 64], [51, 63], [52, 62], [53, 61]]",C1D
6Y3G_0,ablation,"[[1, 72], [2, 71], [3, 70], [4, 69], [5, 68], [6, 67], [7, 66], [10, 25], [11, 24], [12, 23], [13, 22], [19, 56], [24, 49], [25, 44], [27, 43], [28, 42], [29, 41], [31, 39], [49, 65], [50, 64], [51, 63], [52, 62], [53, 61]]",C1D
